566X5rOV5o+P6L+w ||| 算法描述 ||| Algorithm description
6I635Y+W5omn6KGM57uT5p6c77yM5L2/55SoVVRGLTjnvJbnoIHnoa7kv53kuK3mlofmraPnoa7mmL7npLo= ||| 获取执行结果，使用UTF-8编码确保中文正确显示 ||| Get execution result, use UTF-8 encoding to ensure correct display of Chinese
6I635Y+W5oyH5a6a5LuT5bqT5LiL55qE5omA5pyJ566X5rOV ||| 获取指定仓库下的所有算法 ||| Get all algorithms under specified repository
6I635Y+W5oyH5a6a5LuT5bqT55qE566X5rOV5pWw6YeP ||| 获取指定仓库的算法数量 ||| Get algorithm count of specified repository
6I635Y+W5oyH5a6a5YiG57G755qE5omA5pyJ566X5rOV ||| 获取指定分类的所有算法 ||| Get all algorithms of specified category
6I635Y+W5oyH5a6a54q25oCB55qE5omA5pyJ5qCH5rOo ||| 获取指定状态的所有标注 ||| Get all annotations of specified status
6I635Y+W5oyH5a6a57G75Z6L55qE5omA5pyJ5qCH5rOo ||| 获取指定类型的所有标注 ||| Get all annotations of specified type
6I635Y+W5oyH5a6a6KeS6Imy5qCR5b2i57uT5p6E ||| 获取指定角色树形结构 ||| Get specified role tree structure
6I635Y+W5oyH5a6a6K6t57uD5Lu75Yqh55qE5pel5b+X ||| 获取指定训练任务的日志 ||| Get logs of specified training task
6I635Y+W5oyH5a6a6K6t57uD5Lu75Yqh55qE54q25oCB ||| 获取指定训练任务的状态 ||| Get status of specified training task
6I635Y+W5pWw5o2u6ZuG5paH5Lu25YiX6KGo ||| 获取数据集文件列表 ||| Get dataset file list
6I635Y+W5pWw5o2u6ZuG5paH5Lu25YiX6KGo77yaaG9zdD17fSwgcGF0aD17fQ== ||| 获取数据集文件列表：host={}, path={} ||| Get dataset file list: host={}, path={}
6I635Y+W5pWw5o2u6ZuG55qE5omA5pyJ5Zu+54mH ||| 获取数据集的所有图片 ||| Get all images of dataset
6I635Y+W5pWw5o2u6ZuG57uf6K6h5L+h5oGv ||| 获取数据集统计信息 ||| Get dataset statistics
6I635Y+W5paH5Lu25L+h5oGv ||| 获取文件信息 ||| Get file info
6I635Y+W5paH5Lu25YaF5a65 ||| 获取文件内容 ||| Get file content
6I635Y+W5paH5Lu25YaF5a655aSx6LSl77ya ||| 获取文件内容失败： ||| Failed to get file content: 
6I635Y+W5paH5Lu25YaF5a6577yaaG9zdD17fSwgcGF0aD17fSwgZmlsZW5hbWU9e30= ||| 获取文件内容：host={}, path={}, filename={} ||| Get file content: host={}, path={}, filename={}
6I635Y+W5paH5Lu25YiX6KGo ||| 获取文件列表 ||| Get file list
6I635Y+W5paH5Lu25YiX6KGo5aSx6LSl77ya ||| 获取文件列表失败： ||| Failed to get file list: 
6I635Y+W5paH5Lu25YiX6KGo5aSx6LSl77yae30= ||| 获取文件列表失败：{} ||| Failed to get file list: {}
6I635Y+W5paH5Lu25aSW6ZO+ ||| 获取文件外链 ||| Get file external link
6I635Y+W5paH5Lu255u45a+56Lev5b6E ||| 获取文件相对路径 ||| Get file relative path
6I635Y+W5paH5Lu26Lev5b6E ||| 获取文件路径 ||| Get file path
6I635Y+W5pyA5aSn5o6S5bqP5Y+3 ||| 获取最大排序号 ||| Get maximum sort number
6I635Y+W5p2D6ZmQ5YiG6YWN5qCR5b2i57uT5p6E ||| 获取权限分配树形结构 ||| Get permission assignment tree structure
6I635Y+W5qCH5rOo5a6e5L6L5aSx6LSl ||| 获取标注实例失败 ||| Failed to get annotation instance
6I635Y+W5qCH5rOo5a6e5L6L5aSx6LSlOiA= ||| 获取标注实例失败:  ||| Failed to get annotation instance: 
6I635Y+W5qCH5rOo5bel5L2c6YeP55qE5oC75L2T57uf6K6h ||| 获取标注工作量的总体统计 ||| Get overall statistics of annotation workload
6I635Y+W5qCH5rOo5bel5L2c6YeP57uf6K6h ||| 获取标注工作量统计 ||| Get annotation workload statistics
6I635Y+W5qCH5rOo54q25oCB57uf6K6h ||| 获取标注状态统计 ||| Get annotation status statistics
6I635Y+W5qCH5rOo57G75Z6L57uf6K6h ||| 获取标注类型统计 ||| Get annotation type statistics
6I635Y+W5qCH5rOo6L+b5bqm57uf6K6h ||| 获取标注进度统计 ||| Get annotation progress statistics
6I635Y+W5qCH5rOo6aG555uu5omA5pyJ5a6e5L6L5aSx6LSl ||| 获取标注项目所有实例失败 ||| Failed to get all instances of annotation project
6I635Y+W5qCH5rOo6aG555uu5omA5pyJ5a6e5L6L5aSx6LSlOiA= ||| 获取标注项目所有实例失败:  ||| Failed to get all instances of annotation project: 
6I635Y+W5qCH5rOo6aG555uu55qE5omA5pyJ5qCH5rOo5a6e5L6L5YiX6KGo ||| 获取标注项目的所有标注实例列表 ||| Get all annotation instances of annotation project
6I635Y+W5qCH5rOo6aG555uu55qE5qCH562+5YiX6KGo ||| 获取标注项目的标签列表 ||| Get label list of annotation project
6I635Y+W5qCH562+5L2/55So57uf6K6h ||| 获取标签使用统计 ||| Get label usage statistics
6I635Y+W5qCH562+5YiX6KGo5aSx6LSl ||| 获取标签列表失败 ||| Failed to get label list
6I635Y+W5qCH562+5YiX6KGo5aSx6LSlOiA= ||| 获取标签列表失败:  ||| Failed to get label list: 
6I635Y+W5qCH562+5qCR5aSx6LSl ||| 获取标签树失败 ||| Failed to get label tree
6I635Y+W5qCH562+5qCR5aSx6LSlOiA= ||| 获取标签树失败:  ||| Failed to get label tree: 
6I635Y+W5qCH562+5qCR5aSx6LSl77yM57G75Z6LOiB7fQ== ||| 获取标签树失败，类型: {} ||| Failed to get label tree, type: {}
6I635Y+W5qCH562+5qCR5b2i57uT5p6E ||| 获取标签树形结构 ||| Get label tree structure
6I635Y+W5qCH562+5qCR5b2i57uT5p6E77yI5oyJ57G75Z6L5ZKM5bGC57qn5o6S5bqP77yJ ||| 获取标签树形结构（按类型和层级排序） ||| Get label tree structure (sorted by type and level)
6I635Y+W5qCH562+5qCR5b2i57uT5p6E77yI55So5LqO5bem5L6n5a+86Iiq77yJ ||| 获取标签树形结构（用于左侧导航） ||| Get label tree structure (used for left navigation)
6I635Y+W5qCH562+55qE5L2/55So57uf6K6h ||| 获取标签的使用统计 ||| Get label usage statistics
6I635Y+W5qCH562+55qE6K6+5aSH5pWw6YeP ||| 获取标签的设备数量 ||| Get device count of label
6I635Y+W5qCH562+57uf6K6h5aSx6LSlOiA= ||| 获取标签统计失败:  ||| Failed to get label statistics: 
6I635Y+W5qCH562+57uf6K6h5aSx6LSl77yMSUQ6IHt9 ||| 获取标签统计失败，ID: {} ||| Failed to get label statistics, ID: {}
6I635Y+W5qCR5b2i6IqC54K5 ||| 获取树形节点 ||| Get tree node
6I635Y+W5qC557qn5qCH562+77yI57G75Z6L57qn5Yir77yJ ||| 获取根级标签（类型级别） ||| Get root-level label (type level)
6I635Y+W5qih5Z6L6K+m5oOF5pe277yMSUTkuLrnqbo= ||| 获取模型详情时，ID为空 ||| ID is empty when getting model details
6I635Y+W5q2j5Zyo6K6t57uD55qE5Lu75Yqh5YiX6KGo ||| 获取正在训练的任务列表 ||| Get list of tasks currently training
6I635Y+W5raI5oGv ||| 获取消息 ||| Get message
6I635Y+W5rqQ6K6+5aSH55qE5qCH562+ ||| 获取源设备的标签 ||| Get labels of source device
6I635Y+W54q25oCB5Li65ZCv55So55qE5omA5pyJ566X5rOV5LuT5bqT ||| 获取状态为启用的所有算法仓库 ||| Get all algorithm repositories with status enabled
6I635Y+W546w5pyJ55qE6K6t57uD5Lu75Yqh ||| 获取现有的训练任务 ||| Get existing training tasks
6I635Y+W55So5oi3 ||| 获取用户 ||| Get user
6I635Y+W55So5oi3aWQ= ||| 获取用户id ||| Get user ID
6I635Y+W55So5oi35L+h5oGv ||| 获取用户信息 ||| Get user info
6I635Y+W55So5oi35ZCN ||| 获取用户名 ||| Get username
6I635Y+W55So5oi357G75Z6L ||| 获取用户类型 ||| Get user type
6I635Y+W55So5oi36KeS6Imy ||| 获取用户角色 ||| Get user role
6I635Y+W55So5oi36LSm5Y+3 ||| 获取用户账号 ||| Get user account
6I635Y+W55So6KeS6Imy ||| 获取用角色 ||| Get user roles
6I635Y+W56aB55So55qE5Zy65pmv5rK755CG5pWw6YeP ||| 获取禁用的场景治理数量 ||| Get disabled scene governance count
6I635Y+W56ef5oi3SUQ= ||| 获取租户ID ||| Get tenant ID
6I635Y+W562J5b6F5Lit55qE5Lu75Yqh5YiX6KGo ||| 获取等待中的任务列表 ||| Get list of waiting tasks
6I635Y+W566X5rOV5LiL5pyA5paw54mI5pys55qE5qih5Z6L ||| 获取算法下最新版本的模型 ||| Get the latest version model under the algorithm
6I635Y+W566X5rOV5LiL5pyA5paw54mI5pys55qE5qih5Z6L5aSx6LSl ||| 获取算法下最新版本的模型失败 ||| Failed to get the latest version model under the algorithm
6I635Y+W566X5rOV5LiL5pyA5paw54mI5pys55qE5qih5Z6L5aSx6LSl77ya ||| 获取算法下最新版本的模型失败： ||| Failed to get the latest version model under the algorithm: 
6I635Y+W566X5rOV5LuT5bqT5oC75pWw ||| 获取算法仓库总数 ||| Get total count of algorithm repositories
6I635Y+W566X5rOV5YiG57G757uf6K6h ||| 获取算法分类统计 ||| Get algorithm category statistics
6I635Y+W566X5rOV5qih5Z6L55qE5oC75aSn5bCP ||| 获取算法模型的总大小 ||| Get total size of algorithm model
6I635Y+W566X5rOV5qih5Z6L55qE5oC75aSn5bCP5aSx6LSl ||| 获取算法模型的总大小失败 ||| Failed to get total size of algorithm model
6I635Y+W566X5rOV5qih5Z6L55qE5oC75aSn5bCP5aSx6LSl77ya ||| 获取算法模型的总大小失败： ||| Failed to get total size of algorithm model: 
6I635Y+W566X5rOV5qih5Z6L55qE5oC75aSn5bCP77yI5omA5pyJ5bey5Y+R5biD5qih5Z6L55qE5paH5Lu25aSn5bCP5oC75ZKM77yJ ||| 获取算法模型的总大小（所有已发布模型的文件大小总和） ||| Get total size of algorithm model (sum of file sizes of all published models)
6I635Y+W566X5rOV57G75Z6L57uf6K6h ||| 获取算法类型统计 ||| Get algorithm type statistics
6I635Y+W57uf6K6h5L+h5oGv5aSx6LSlOiA= ||| 获取统计信息失败:  ||| Failed to get statistical info: 
6I635Y+W6Ieq5pyJ5qCH562+5ZKM5YWs5YWx5qCH562+5pWw5o2u ||| 获取自有标签和公共标签数据 ||| Get own label and public label data
6I635Y+W6I+c5Y2V5qCR5b2i57uT5p6E ||| 获取菜单树形结构 ||| Get menu tree structure
6I635Y+W6KeS6ImySUQ= ||| 获取角色ID ||| Get role ID
6I635Y+W6KeS6Imy5Yir5ZCN ||| 获取角色别名 ||| Get role alias
6I635Y+W6KeS6Imy5ZCN ||| 获取角色名 ||| Get role name
6I635Y+W6KeS6Imy5qCR5b2i57uT5p6E ||| 获取角色树形结构 ||| Get role tree structure
6I635Y+W6KeS6Imy6YWN572u55qE6I+c5Y2V ||| 获取角色配置的菜单 ||| Get menus configured for role
6I635Y+W6K6k6K+BdG9rZW4= ||| 获取认证token ||| Get authentication token
6I635Y+W6K6k6K+B5L+h5oGv ||| 获取认证信息 ||| Get authentication info
6I635Y+W6K6t57uD5pel5b+X ||| 获取训练日志 ||| Get training logs
6I635Y+W6K6t57uD5pel5b+X77yaSUQ9e30/bG9nUGF0aD17fQ== ||| 获取训练日志：ID={}?logPath={} ||| Get training logs: ID={}?logPath={}
6I635Y+W6K6t57uD54q25oCB ||| 获取训练状态 ||| Get training status
6I635Y+W6K6t57uD54q25oCB77yaSUQ9e30/bG9nUGF0aD17fQ== ||| 获取训练状态：ID={}?logPath={} ||| Get training status: ID={}?logPath={}
6I635Y+W6K6t57uD6L+b5bqm ||| 获取训练进度 ||| Get training progress
6I635Y+W6K6t57uD6L+b5bqm5aSx6LSlOiB7fQ== ||| 获取训练进度失败: {} ||| Failed to get training progress: {}
6I635Y+W6K6+5aSH5YiG57uE57uf6K6h ||| 获取设备分组统计 ||| Get device grouping statistics
6I635Y+W6K6+5aSH5YiG57uE57uf6K6h77yI5oyJ5qCH562+5YiG57uE77yJ ||| 获取设备分组统计（按标签分组） ||| Get device grouping statistics (grouped by label)
6I635Y+W6K6+5aSH5ZOB54mM57uf6K6h ||| 获取设备品牌统计 ||| Get device brand statistics
6I635Y+W6K6+5aSH5qCH562+ ||| 获取设备标签 ||| Get device labels
6I635Y+W6K6+5aSH5qCH562+55qE6K+m57uG5L+h5oGv77yI5YyF5ZCr5qCH562+5bGC57qn57uT5p6E77yJ ||| 获取设备标签的详细信息（包含标签层级结构） ||| Get detailed information of device label (containing label hierarchy)
6I635Y+W6K6+5aSH5qCH562+57uf6K6h5L+h5oGv ||| 获取设备标签统计信息 ||| Get device label statistics
6I635Y+W6K6+5aSH5qCH562+6K+m57uG5L+h5oGv ||| 获取设备标签详细信息 ||| Get device label details
6I635Y+W6K6+5aSH5qCR5aSx6LSlOiA= ||| 获取设备树失败:  ||| Failed to get device tree: 
6I635Y+W6K6+5aSH5qCR5b2i57uT5p6E ||| 获取设备树形结构 ||| Get device tree structure
6I635Y+W6K6+5aSH54q25oCB57uf6K6h ||| 获取设备状态统计 ||| Get device status statistics
6I635Y+W6K6+5aSH55qE5omA5pyJ5qCH562+ ||| 获取设备的所有标签 ||| Get all labels of device
6I635Y+W6K6+5aSH55qE5qCH562+SUTliJfooag= ||| 获取设备的标签ID列表 ||| Get label ID list of device
6I635Y+W6K6+5aSH57G75Z6L57uf6K6h ||| 获取设备类型统计 ||| Get device type statistics
6I635Y+W6K6+5aSH57uf6K6h5L+h5oGv ||| 获取设备统计信息 ||| Get device statistics
6I635Y+W6K6+5aSH6KeG6aKR5rWB5L+h5oGv ||| 获取设备视频流信息 ||| Get device video stream info
6I635Y+W6K6+5aSH6K6t57uD5qih5Z6L ||| 获取设备训练模型 ||| Get device training model
6I635Y+W6K6+5aSH6YWN572u ||| 获取设备配置 ||| Get device configuration
6I635Y+W6K6+5aSH6YWN572u5Y+C5pWw ||| 获取设备配置参数 ||| Get device configuration parameters
6I635Y+W6K+l5qCH5rOo6aG555uu55qE5omA5pyJ5Zu+54mH ||| 获取该标注项目的所有图片 ||| Get all images of the annotation project
6I635Y+W6K+l57G75Z6L5LiL55qE5omA5pyJ5YW35L2T5qCH562+ ||| 获取该类型下的所有具体标签 ||| Get all specific labels under this type
6I635Y+W6K+35rGC5Lyg6YCS55qEdG9rZW7kuLI= ||| 获取请求传递的token串 ||| Get token string passed by request
6I635Y+W6K+35rGC5aS0 ||| 获取请求头 ||| Get request headers
6I635Y+W6K+35rGC5aS05Lit55qE5a6i5oi356uvaWQ= ||| 获取请求头中的客户端id ||| Get client ID in request header
6I635Y+W6K+35rGC5aS05a6i5oi356uv5L+h5oGv ||| 获取请求头客户端信息 ||| Get client info in request header
6I635Y+W6L6T5Ye65rWB ||| 获取输出流 ||| Get output stream
6I635Y+W6L+H5pyf5pe26Ze0KOasoeaXpeWHjOaZqDPngrkp ||| 获取过期时间(次日凌晨3点) ||| Get expiration time (3 AM next day)
6I635Y+W6L+Q6KGM5Lit55qE5a655Zmo5a6e5L6L5YiX6KGo ||| 获取运行中的容器实例列表 ||| Get running container instances
6I635Y+W6L+c56iL5pyN5Yqh5Zmo5oyH5a6a5paH5Lu255qE5YaF5a65 ||| 获取远程服务器指定文件的内容 ||| Get contents of specified file on remote server
6I635Y+W6L+c56iL5pyN5Yqh5Zmo5oyH5a6a6Lev5b6E5LiL55qE5paH5Lu25YiX6KGo ||| 获取远程服务器指定路径下的文件列表 ||| Get file list under specified path on remote server
6I635Y+W6YOo572y54q25oCB57uf6K6h ||| 获取部署状态统计 ||| Get deployment status statistics
6I635Y+W6YOo6ZeoSUQ= ||| 获取部门ID ||| Get department ID
6I635Y+W6YOo6Zeo5ZCN ||| 获取部门名 ||| Get department name
6I635Y+W6YOo6Zeo5qCR5b2i57uT5p6E ||| 获取部门树形结构 ||| Get department tree structure
6I635Y+W6YWN572u ||| 获取配置 ||| Get configuration
6I635Y+W6YWN572u55qE6KeS6Imy5p2D6ZmQ ||| 获取配置的角色权限 ||| Get configured role permissions
6I635Y+W6YWN572u57G7 ||| 获取配置类 ||| Get configuration class
6I635Y+W6ZSZ6K+v5rWB ||| 获取错误流 ||| Get error stream
6I635Y+W6aG26YOo6I+c5Y2V5qCR5b2i57uT5p6E ||| 获取顶部菜单树形结构 ||| Get top menu tree structure
6I635Y+W6aG26YOo6I+c5Y2V6YWN572u55qE6I+c5Y2V ||| 获取顶部菜单配置的菜单 ||| Get menus configured for top menu
6I635Y+W6aqM6K+B56CB ||| 获取验证码 ||| Get verification code
6I+c5Y2V ||| 菜单 ||| Menu
6I+c5Y2VaWQ= ||| 菜单id ||| Menu ID
6I+c5Y2V5Li76ZSu ||| 菜单主键 ||| Menu primary key
6I+c5Y2V5YiX6KGo ||| 菜单列表 ||| Menu list
6I+c5Y2V5Yir5ZCN ||| 菜单别名 ||| Menu alias
6I+c5Y2V5ZCN56ew ||| 菜单名称 ||| Menu name
6I+c5Y2V5qCR5b2i57uT5p6E ||| 菜单树形结构 ||| Menu tree structure
6I+c5Y2V54i25Li76ZSu ||| 菜单父主键 ||| Menu parent primary key
6I+c5Y2V55qE6KeS6Imy5p2D6ZmQ ||| 菜单的角色权限 ||| Role permissions of menu
6I+c5Y2V57G75Z6L ||| 菜单类型 ||| Menu type
6I+c5Y2V57yW5Y+3 ||| 菜单编号 ||| Menu code
6I+c5Y2V6KGo5paw5aKe5o6l5Y+j5p2D6ZmQ6I+c5Y2V ||| 菜单表新增接口权限菜单 ||| Add interface permission menu in menu table
6I+c5Y2V6LWE5rqQ ||| 菜单资源 ||| Menu resource
6JqC6JqB6YeR5pyN5L2T6aqM5oqA5pyv6YOo57uP6L+H5aSn6YeP55qE6aG555uu5a6e6Le15ZKM5oC757uT77yM5rKJ5reA5Ye66K6+6K6h6K+t6KiAIEFudCBEZXNpZ27vvIzov5nlj6/kuI3ljZXnuq/lj6rmmK/orr7orqHljp/liJnjgIHmjqfku7bop4TojIPlkozop4bop4nlsLrlr7jvvIzov5jphY3lpZfmnInliY3nq6/ku6PnoIHlrp7njrDmlrnmoYjjgILkuZ/lsLHmmK/or7Tph4fnlKhBbnQgRGVzaWdu5ZCO77yMVUnorr7orqHlkozliY3nq6/nlYzpnaLnoJTlj5Hlj6/lkIzmraXlrozmiJDvvIzmlYjnjoflpKflpKfmj5DljYfjgII= ||| 蚂蚁金服体验技术部经过大量的项目实践和总结，沉淀出设计语言 Ant Design，这可不单纯只是设计原则、控件规范和视觉尺寸，还配套有前端代码实现方案。也就是说采用Ant Design后，UI设计和前端界面研发可同步完成，效率大大提升。 ||| Through a large number of project practices and summaries, the Ant Financial Experience Technology Department has developed the design language Ant Design. This is not simply design principles, control specifications, and visual dimensions, but is also accompanied by frontend code implementation solutions. In other words, after adopting Ant Design, UI design and frontend interface R&D can be completed synchronously, greatly improving efficiency.
6KGM5Lq65qOA5rWL566X5rOV ||| 行人检测算法 ||| Pedestrian detection algorithm
6KGM5pS/5Yy65YiS5LiL5ouJ5pWw5o2u5rqQ ||| 行政区划下拉数据源 ||| Administrative division dropdown data source
6KGM5pS/5Yy65YiS6KGo ||| 行政区划表 ||| Administrative division table
6KGM5pS/5Yy65YiS6KGoIE1hcHBlciDmjqXlj6M= ||| 行政区划表 Mapper 接口 ||| Administrative division table Mapper interface
6KGM5pS/5Yy65YiS6KGoIOaOp+WItuWZqA== ||| 行政区划表 控制器 ||| Administrative division table controller
6KGM5pS/5Yy65YiS6KGoIOacjeWKoeWunueOsOexuw== ||| 行政区划表 服务实现类 ||| Administrative division table service implementation class
6KGM5pS/5Yy65YiS6KGoIOacjeWKoeexuw== ||| 行政区划表 服务类 ||| Administrative division table service class
6KGM5pS/5Yy65YiS6KGo5a6e5L2T57G7 ||| 行政区划表实体类 ||| Administrative division table entity class
6KGM5pS/5Yy65YiS6KGo5o6l5Y+j ||| 行政区划表接口 ||| Administrative division table interface
6KGM5pS/5Yy65YiS6KGo6KeG5Zu+5a6e5L2T57G7 ||| 行政区划表视图实体类 ||| Administrative division table view entity class
6KGo5YmN57yA ||| 表前缀 ||| Table prefix
6KGo5ZCN ||| 表名 ||| Table name
6KOB5Ymq5YiwIFswLDFd ||| 裁剪到 [0,1] ||| Clip to [0,1]
6KeE5YiZ57G75Z6L5ZCN ||| 规则类型名 ||| Rule type name
6KeE5qC85ZCN56ew ||| 规格名称 ||| Specification name
6KeG5Zu+5a6e5L2T57G7 ||| 视图实体类 ||| View entity class
6KeG6aKR5Zue5pS+5p+l6K+i ||| 视频回放查询 ||| Video playback query
6KeG6aKR5b2V5Yi26K6w5b2V6KGoIEV4Y2Vs5a6e5L2T57G7 ||| 视频录制记录表 Excel实体类 ||| Video recording record table Excel entity class
6KeG6aKR5b2V5Yi26K6w5b2V6KGoIE1hcHBlciDmjqXlj6M= ||| 视频录制记录表 Mapper 接口 ||| Video recording record table Mapper interface
6KeG6aKR5b2V5Yi26K6w5b2V6KGoIOS/ruaUuQ== ||| 视频录制记录表 修改 ||| Modify video recording record table
